time,10Y2Y_Yield,US CLI,ISM New Orders,Building Permits,Consumer Confidence,PMI,4-Week MA Initial Unemployment Claims,SP500
7/1/86,0.838592491,-0.007001483,0.160473723,0.242493787,-0.173273295,-0.353105677,0.18275177,0.861464756
8/1/86,1.099971969,-0.046946785,1.123316063,-0.224863928,-0.384214698,0.45903738,-0.163303288,1.519194857
9/1/86,1.165316838,-0.083796694,0.97621515,-0.595164059,-0.610223344,0.423726813,-0.094034522,1.074214905
10/1/86,1.17620765,-0.110402329,0.601776462,-0.193426463,-0.331479347,0.211863406,-0.010611868,1.168280938
11/1/86,1.023736288,-0.110254929,0.936096719,-0.140651784,-0.647891452,0.211863406,0.134263194,0.836051102
12/1/86,0.958391418,-0.063013345,0.722131754,0.301237077,-0.821164747,0.088276419,0.155528206,0.289252191
1/1/87,0.925718984,0.041124499,1.310535406,-0.421441329,-0.723227667,0.865108909,0.202949762,1.224182695
2/1/87,0.914828172,0.190071834,0.722131754,-0.218857996,-0.73829491,0.45903738,0.210248254,0.960476703
3/1/87,1.056408722,0.359065519,1.551245991,-0.211688836,-0.693093181,0.882764193,0.307501637,0.762073731
4/1/87,0.90393736,0.519067826,1.310535406,-0.685790997,-0.54242075,0.971040612,0.250848312,0.782912686
5/1/87,0.871264926,0.653717396,1.791956576,-0.819431657,-0.670492316,1.271180438,0.25873169,0.457743711
6/1/87,0.980173041,0.749011262,1.49775475,-0.742311397,-0.64035783,1.306491005,0.304648594,0.704688929
7/1/87,1.121753592,0.790209461,1.872193438,-0.735340168,-0.474618157,1.324146289,0.302807362,1.574078321
8/1/87,1.121753592,0.762203529,1.698346904,-0.61759253,-0.421882806,1.641941399,0.239083484,1.285485501
9/1/87,1.121753592,0.669415457,1.618110042,-0.505795827,-0.482151778,1.765528386,0.272330485,1.837523453
10/1/87,1.415805504,0.534471088,2.046039971,-0.674876648,-0.806097504,1.889115373,0.306253236,-0.431738799
11/1/87,1.372242258,0.396578727,1.243671355,-0.56395462,-1.273182039,1.553664979,0.200614637,-1.113199367
12/1/87,1.154426027,0.299368665,1.537873181,-1.453783637,-0.994438042,1.942081224,0.057248538,-0.505339849
1/1/88,1.132644403,0.24858949,1.377399458,-1.308436106,-0.693093181,1.324146289,-0.160689217,-1.025941106
2/1/88,1.121753592,0.238271515,0.936096719,-0.736797999,-0.632824209,1.094627599,0.025421844,-0.997980291
3/1/88,1.263334142,0.260160362,1.056452011,-0.520820183,-0.406815563,0.812143057,0.131458009,-1.344391087
4/1/88,1.241552519,0.303422155,1.01633358,-0.532649447,-0.662958695,1.024006464,0.040368038,-1.225813329
5/1/88,1.078190346,0.358328521,1.029706391,-0.185097747,-0.39174832,0.971040612,0.018952615,-1.24270964
6/1/88,0.871264926,0.409107696,1.818702196,-0.120528968,-0.399281941,1.641941399,0.061568795,-1.26764923
7/1/88,0.795029245,0.439619421,1.417517888,-0.251823288,-0.497219021,1.447733276,-0.104752458,-1.558616105
8/1/88,0.588103825,0.452959088,1.230298545,-0.167343974,-0.19587416,1.059317031,-0.001226879,-1.94149234
9/1/88,0.479195709,0.45620188,1.150061683,-0.2554307,-0.203407781,0.794487774,0.095215494,-1.613686692
10/1/88,0.435632463,0.455464882,0.962842339,0.236420388,-0.44448367,0.953385328,0.218977407,0.047904833
11/1/88,0.239597855,0.451042893,1.123316063,0.173546153,-0.527353507,0.988695896,0.21395004,0.555791911
12/1/88,0,0.436966228,1.203552924,0.575051419,-0.610223344,1.059317031,0.1783286,0.149067162
1/1/89,-0.119798927,0.396726126,0.97621515,0.884783387,-0.158206052,0.829798341,0.160601513,0.358971183
2/1/89,-0.250488666,0.316909222,0.97621515,-0.189630491,-0.346546591,0.723866638,0.006551889,-0.137714297
3/1/89,-0.468304898,0.202748202,0.267456205,-1.011101864,-0.429416427,0.264829258,-0.163902272,0.243907954
4/1/89,-0.217816231,0.074215718,0.414557118,-0.183885721,-0.64035783,0.388416245,-0.036017812,0.533730164
5/1/89,-0.239597855,-0.049231479,0.093609672,-0.21631056,-0.700626803,-0.123586987,-0.183132659,0.772763907
6/1/89,0.021781623,-0.145114944,-0.588403652,-0.544208745,-0.708160424,-0.476692664,-0.246368381,0.393319763
7/1/89,0.315833536,-0.204295899,-0.561658031,-0.537487254,-0.602689723,-0.723866638,-0.301136649,1.086061845
8/1/89,-0.174252985,-0.227953541,-0.641894893,-0.427880067,-0.783496639,-0.865108909,-0.231118207,1.538114385
9/1/89,-0.163362174,-0.227069143,-0.534912411,-0.421220749,-0.316412104,-0.706211354,-0.233791321,1.160332655
10/1/89,0.076235681,-0.217193367,-0.093609672,-0.493835278,-0.459550913,-0.564969083,-0.417597959,0.756051227
11/1/89,0.098017304,-0.200242409,-0.093609672,-0.539196261,-0.685559559,-0.564969083,-0.123172488,1.034654739
12/1/89,0.065344869,-0.178279862,0.053491241,-0.260946073,-0.715694046,-0.45903738,-0.268798176,1.087315749
1/1/90,0.163362174,-0.153221924,-0.120355292,0.953716955,-0.527353507,-0.494347948,-0.236981671,0.037031345
2/1/90,0.087126493,-0.130817179,0.334320257,-0.193586891,-0.791030261,-0.158897555,-0.167551181,0.306989502
3/1/90,0.010890812,-0.131185678,0.307574636,0.130687984,-0.655425073,-0.017655284,-0.019208529,0.331510516
4/1/90,0.087126493,-0.186386843,0.49479398,-0.864763147,-0.459550913,0,-0.140374518,-0.202285572
5/1/90,0.108908116,-0.311823935,0.227337775,-1.12730215,-0.708160424,-0.088276419,-0.059059115,0.168328548
6/1/90,0.20692542,-0.522236918,0.267456205,-0.802576952,-0.881433719,-0.141242271,-0.088732954,0.161427975
7/1/90,0.490086521,-0.813351204,-0.441302739,-0.792194039,-0.888967341,-0.600279651,-0.120767973,-0.450141633
8/1/90,0.860374114,-1.162319848,-0.601776462,-0.984905154,-1.777934682,-0.68855607,-0.232612236,-1.15315417
9/1/90,0.871264926,-1.51571048,-0.682013324,-1.275339176,-2.049145057,-0.971040612,-0.276661445,-1.413644515
10/1/90,0.958391418,-1.822670227,-0.922723908,-1.598175213,-2.719637373,-1.200559302,-0.487900885,-1.308700229
11/1/90,0.795029245,-2.035073106,-1.283789786,-1.486654819,-2.561431321,-1.536009696,-0.577204658,-1.067877152
12/1/90,1.012845476,-2.119533099,-1.537873181,-1.955994506,-2.599099429,-1.624286115,-0.573646207,-1.048233098
1/1/91,1.067299534,-2.076197605,-1.591364422,-2.72858828,-2.501162349,-1.906770657,-0.383909491,-0.348899357
2/1/91,1.067299534,-1.917374495,-1.444263509,-1.775768457,-2.229951974,-1.871460089,-0.633565983,0.035599715
3/1/91,1.121753592,-1.681166574,-1.01633358,-1.333003011,-0.926635449,-1.641941399,-0.644229972,0.021602865
4/1/91,1.328679012,-1.411720036,-0.5215396,-0.960171288,-1.371119119,-1.271180438,-0.318846191,0.216719496
5/1/91,1.502931997,-1.1407995,-0.147100913,-0.353145388,-1.634795873,-0.971040612,-0.113399721,-0.133837884
6/1/91,1.459368751,-0.892799609,1.123316063,-0.644357811,-1.348518254,0.052965852,0.063490485,-0.402108333
7/1/91,1.513822808,-0.702580376,0.748877375,-0.48291968,-1.288249282,0.105931703,0.159304345,-0.072434963
8/1/91,1.590058489,-0.59881103,1.350653837,-0.579744548,-1.356051876,0.512003232,0.102833873,0.793014487
9/1/91,1.611840113,-0.576774785,1.430890699,-0.010159786,-1.280715661,0.865108909,0.157487706,1.054499431
10/1/91,1.927673648,-0.612371797,1.069824821,0.353758243,-1.634795873,0.5473138,0.168209054,1.204056405
11/1/91,2.178162314,-0.665804166,0.468048359,0.22655998,-2.327889054,-0.088276419,0.013530205,0.405013635
12/1/91,2.112817445,-0.690419906,-0.066864051,1.151678369,-2.395691647,-0.564969083,-0.067209814,1.027703907
1/1/92,2.395978546,-0.653422596,-0.053491241,1.835586304,-2.448426998,-0.476692664,0.054984452,0.557245063
